Id,RainToday
0,1
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,0
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,1
528,1
529,0
530,1
531,1
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,1
562,1
563,0
564,0
565,0
566,1
567,0
568,1
569,0
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,1
602,1
603,0
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,0
642,1
643,0
644,0
645,1
646,1
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,1
678,0
679,0
680,1
681,1
682,1
683,0
684,1
685,0
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,1
752,0
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,1
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,1
786,0
787,1
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,1
